Country,Isolate_Count
united states of america,628300
nan,75867
canada,23338
"korea, republic of",1024
australia,30937
germany,8403
italy,4022
puerto rico,3
not provided,5645
austria,1174
romania,466
switzerland,2005
united kingdom,144786
china,20711
india,1764
sweden,1863
spain,1858
japan,2635
ireland,3311
brazil,4266
denmark,6369
france,7770
new zealand,2963
not available,65
thailand,895
netherlands,7917
norway,1985
united arab emirates,129
mumbai,1
portugal,3347
russia,1502
lebanon,340
malaysia,171
uruguay,183
chile,4673
finland,1619
israel,1516
not collected,2855
south africa,11445
argentina,358
singapore,824
mexico,4057
liechtenstein,2
jamaica,51
belgium,980
taiwan,2637
cambodia,572
poland,1654
bulgaria,30
cyprus,14
iceland,8
slovenia,508
luxembourg,207
algeria,104
hungary,127
ussr,1
estonia,145
greece,87
turkey,217
moldova,4
senegal,142
mali,538
latvia,328
french guiana,7
reunion,8
guadeloupe,1
slovakia,217
colombia,472
belarus,3
guatemala,63
qatar,43
morocco,41
viet nam,392
ecuador,864
ethiopia,465
costa rica,239
bangladesh,1073
madagascar,25
montenegro,141
serbia,20
bosnia and herzegovina,3
czech republic,187
kosovo,133
lithuania,105
mongolia,3
malawi,294
haiti,13
panama,2
yugoslavia,2
nigeria,940
philippines,217
dominican republic,83
indonesia,39
hong kong,228
cote d'ivoire,16
ghana,149
egypt,158
democratic republic of the congo,145
uganda,105
cameroon,27
djibouti,2
angola,1
gabon,1
rwanda,82
central african republic,14
tunisia,287
comoros,2
mauritania,3
mauritius,26
mozambique,92
niger,8
benin,13
guinea,10
kenya,836
chad,3
pakistan,486
sri lanka,151
croatia,73
nepal,239
papua new guinea,46
tanzania,1411
saint lucia,1
honduras,2
peru,1584
iran,18
malta,1
republic of the congo,3
barbados,12
belize,15
guyana,1
korea,28
suriname,13
trinidad and tobago,204
tonga,3
none,5
laos,182
bahamas,23
bolivia,28
paraguay,102
saudi arabia,1081
ukraine,9
bermuda,2
pacific ocean,5
antarctica,4
kuwait,28
myanmar,63
albania,1
sudan,3
gambia,278
sierra leone,2
grenada,44
georgia,61
iraq,42
northern ireland,439
jordan,8
england,84
poland/hungary,16
antilles,1
cuba,4
burkina faso,233
united states,23
zimbabwe,154
zambia,118
namibia,20
togo,2
oman,38
armenia,41
samoa,191
fiji,679
syria,2
north korea,1
state of palestine,17
cayman islands,17
kazakhstan,1
macedonia,2
zaire,2
yemen,2
not determined,36
south georgia and the south sandwich islands,2
bhutan,3
botswana,90
france and algeria,1
guinea-bissau,21
outpatient,1
uzbekistan,1
liberia,1
brunei,1
venezuela,41
burundi,1
bahrain,1
afghanistan,4
tajikistan,1
