Country,SNP_Cluster_Count
afghanistan,1
albania,1
algeria,7
antarctica,2
argentina,71
armenia,12
australia,2437
austria,190
bahamas,7
bahrain,1
bangladesh,132
barbados,7
belarus,3
belgium,301
belize,5
benin,7
bermuda,2
bhutan,1
bolivia,6
bosnia and herzegovina,2
botswana,23
brazil,633
bulgaria,15
burkina faso,9
burundi,1
cambodia,105
cameroon,8
canada,2786
cayman islands,7
central african republic,4
chad,1
chile,472
china,1936
"china, hong kong",1
colombia,94
comoros,2
costa rica,54
cote d'ivoire,8
croatia,25
cuba,1
cyprus,4
czech republic,83
democratic republic of the congo,9
denmark,1037
djibouti,1
dominican republic,21
ecuador,96
egypt,67
"england, bedfordshire",1
"england, berkshire",2
"england, cambridgeshire",1
"england, cheshire",3
"england, cornwall and isles of scilly",2
"england, derbyshire",4
"england, devon",5
"england, dorset",2
"england, east riding and north lincolnshire",2
"england, essex",1
"england, gloucestershire",1
"england, greater london",1
"england, greater manchester",1
"england, hampshire",3
"england, herefordshire",2
"england, hertfordshire",1
"england, lancashire",5
"england, leicestershire and rutland",2
"england, lincolnshire",2
"england, merseyside",1
"england, norfolk",2
"england, north yorkshire",1
"england, northamptonshire",1
"england, nottinghamshire",2
"england, oxfordshire",1
"england, shropshire",1
"england, somerset excl north",1
"england, suffolk",1
"england, surrey",1
"england, tayside",1
"england, west midlands",1
"england, west yorkshire",1
"england, wiltshire",6
estonia,34
ethiopia,81
fiji,6
finland,325
france,1260
france and algeria,1
french guiana,2
gambia,60
georgia,18
germany,1279
ghana,38
greece,17
grenada,8
guadeloupe,1
guatemala,14
guinea,4
guinea-bissau,3
guyana,1
haiti,8
honduras,2
hong kong,55
hungary,41
iceland,3
india,266
indonesia,21
iran,5
iraq,11
ireland,815
israel,196
italy,612
jamaica,12
japan,367
jordan,4
kazakhstan,1
kenya,116
korea,13
kosovo,31
kuwait,14
laos,40
latvia,71
"latvia, koceni",2
"latvia, rezekne",1
"latvia, tervete",2
lebanon,82
liechtenstein,2
lithuania,34
luxembourg,66
macedonia,1
madagascar,4
malawi,28
malaysia,34
mali,72
malta,1
mauritania,1
mauritius,4
mexico,748
moldova,1
mongolia,1
montenegro,30
morocco,17
mozambique,25
mumbai,1
myanmar,20
namibia,3
nepal,17
netherlands,1368
new zealand,367
niger,4
nigeria,178
none,2
northern ireland,94
norway,256
not collected,635
not provided,269
not available,1
oman,16
pacific ocean,1
pakistan,92
panama,1
papua new guinea,2
paraguay,25
peru,215
philippines,37
poland,258
poland/hungary,5
portugal,479
puerto rico,2
qatar,10
republic of the congo,1
reunion,5
romania,116
russia,247
rwanda,21
samoa,3
saudi arabia,38
senegal,38
serbia,8
sierra leone,2
singapore,157
slovakia,73
slovenia,102
south africa,645
"korea, republic of",176
spain,400
sri lanka,45
state of palestine,2
suriname,6
sweden,384
switzerland,476
syria,2
taiwan,347
tanzania,265
thailand,205
togo,1
tonga,3
trinidad and tobago,37
tunisia,41
turkey,57
united states of america,37120
ussr,1
uganda,17
ukraine,6
united arab emirates,21
united kingdom,12638
"united kingdom, northern ireland",8
"united states, georgia",13
unknown,11264
uruguay,40
venezuela,6
viet nam,107
yemen,1
yugoslavia,1
zaire,2
zambia,11
zimbabwe,13
not determined,8
