Country,2016,2017,2018,2019,2020,2021,2022,2023
ALGERIA,"46,02,00,882","48,33,38,170","56,39,30,078","46,13,37,135","50,44,92,080","55,49,36,315","61,68,75,196","57,01,71,574"
ARGENTINA,"24,78,41,180","24,27,01,481","22,42,06,681","21,45,96,812","15,86,84,426","19,00,33,919","25,05,77,183","21,97,11,781"
AUSTRALIA,"22,24,11,488","21,01,13,947","21,20,25,773","22,11,34,108","17,95,47,806","17,50,91,270","21,26,20,543","20,63,35,696"
AUSTRIA,"5,13,05,776","5,03,14,022","5,11,07,220","4,96,68,963","3,99,54,363","3,69,42,463","4,80,02,543","5,60,26,417"
BELARUS,"7,03,51,446","7,49,76,493","7,61,66,488","7,40,50,485","9,99,47,657","7,59,89,834","6,42,39,102","6,28,01,396"
BELGIUM,"10,90,72,237","10,70,73,874","10,41,74,022","10,13,86,897","7,67,48,675","7,68,20,502","9,66,86,857","10,36,91,216"
BRAZIL,"1,00,68,66,794","1,13,42,65,411","1,19,37,30,349","1,25,70,32,509","1,26,16,90,178","1,23,98,35,987","1,46,80,00,906","1,46,62,32,682"
BULGARIA,"6,07,11,334","5,99,30,454","6,32,05,911","6,21,21,368","6,64,29,152","6,90,17,922","7,25,44,242","7,06,27,313"
CANADA,"24,32,52,886","24,27,42,271","23,66,56,920","21,28,76,462","17,26,44,366","16,40,95,946","19,63,69,958","20,90,56,368"
CENTRAL AMERICA,"6,80,39,538","8,21,75,833","8,23,60,231","9,04,35,349","10,04,62,344","11,30,33,950","11,64,52,191","12,76,59,280"
CHILE,"6,80,29,952","6,94,61,689","7,12,14,201","7,12,70,763","5,77,19,742","7,31,32,309","8,81,85,119","8,79,55,644"
CHINA,"1,74,64,67,731","1,78,43,77,025","1,81,32,62,649","2,14,55,54,171","1,70,63,51,827","1,95,70,48,944","2,02,63,43,661","2,21,73,11,459"
COLOMBIA,"13,53,84,503","14,50,13,149","15,45,67,662","16,93,78,117","17,81,79,577","20,49,82,854","21,52,86,096","18,28,65,559"
CROATIA,"3,25,77,375","3,33,64,401","3,41,23,786","3,38,74,275","2,81,56,195","2,93,56,084","3,37,27,256","3,63,79,466"
CZECH REPUBLIC,"6,61,14,680","6,95,42,594","7,01,43,595","6,68,06,213","5,39,01,542","5,22,64,271","6,63,84,164","7,25,40,695"
DENMARK,"3,54,87,406","3,44,54,007","3,33,30,299","3,23,97,638","2,92,54,744","2,93,32,057","3,07,00,168","3,43,10,920"
ECUADOR,"24,99,25,575","27,42,06,809","26,81,78,525","25,69,31,522","18,97,94,973","17,27,11,655","31,16,55,932","34,79,15,726"
EGYPT,"98,68,32,813","87,01,23,158","1,03,67,64,038","1,18,33,60,239","1,20,94,68,532","1,30,23,03,209","1,32,19,38,280","1,26,61,05,815"
FINLAND,"3,32,46,484","3,07,21,612","3,03,03,337","2,86,14,312","2,27,87,249","2,16,82,655","2,49,00,239","2,59,70,023"
FRANCE,"72,44,94,613","68,59,32,990","68,10,95,235","67,25,02,316","55,55,37,927","57,73,67,528","64,35,78,278","61,58,07,647"
GERMANY,"52,80,72,036","51,57,46,576","49,46,95,790","47,76,25,491","39,43,00,947","36,85,24,333","44,16,87,191","50,60,76,951"
GREECE,"14,41,31,986","14,36,71,379","14,62,84,546","14,72,88,741","12,08,62,219","10,97,39,394","12,62,97,413","13,72,47,694"
HONG KONG,"5,84,99,704","5,15,63,387","5,12,07,969","5,24,81,397","4,01,27,112","3,52,17,882","3,54,23,328","4,74,51,629"
HUNGARY,"5,80,98,007","5,87,28,353","5,90,91,315","5,74,58,638","4,38,26,731","4,63,01,024","5,57,33,254","5,46,50,455"
INDIA,"7,23,48,81,501","7,12,74,69,040","7,46,32,23,122","7,51,98,78,224","6,90,57,90,772","8,10,73,67,043","7,84,03,48,007","7,90,11,71,504"
